question,answer,image_id
what is dinning table made up of,glass,image798
what colour is the bed,black,image280
what is the curtain colour,white,image667
what object is found in the other room,chair,image857
what is on the right most side on the sofa,ipad,image934
what is stuck on the wall,photo,image1385
what are the objects on the table,"books, plate",image1288
what is the colour of the doll,black,image974
what is inside the tv stand,dvd_player,image147
what is on the right side of the blinds,table,image441
what is on the table,"lamp, book, pen_cup, bottle",image988
what is the colour of wall,white,image530
what is the largest object,sofa,image50
what is behind the sofa,banister,image1281
what is at the left side of the lamp,window,image1231
what is the largest object,bathtub,image669
what are the other objects in the rack,"plastic_box, container",image578
how many chairs are there,4,image900
how many wine bottles are,4,image187
what is on top of the shelf near the table,globe,image323
how many pictures are there on the wall,3,image588
what is in front of table,sofa,image270
what is to the left of the globe,book,image481
what is the object close to the wall above the stool,window,image1162
how many books are at the corner of the table,3,image374
what is behind the left most lamp,blinds,image50
what is on the right side of the ornamental plant,kitchen_utensil,image830
what is the object on the floor in front of the cabinet,garbage_bin,image877
what are the objects kept in the shelves,books,image1196
what is hung on the wall,wall_decoration,image1449
what are the objects found on the table,"container, vegetable, newspapers",image810
what is in front of the table,bowl,image899
what is in front of the sofa,table,image1243
how many objects are between the fire extinguisher and the white oven on the floor,3,image1
what is in front of the drawer,drawer_knob,image1016
how many chairs are,6,image550
what is the object close to the wall,clock,image92
what is the object on the floor in the corner,lamp,image1167
what is on the washing machine,bottle_of_liquid,image493
what is the object placed in front of the wall to the right and left of the chairs,table,image20
what is the colour of wall,white,image502
how many drawer knobs are there,3,image1125
what is on the left side of the stand,table,image492
what is the largest object,bicycle,image78
what is on the chair,pillow,image761
what is the object to which the jackets are hung,hangers,image116
what is at the right side,photo,image1075
what is in front of the sofa,table,image580
what is on the right side of the picture,door,image1397
what is the largest black object in this picture,television,image177
what is to the right of the piano,stroller,image1282
what is behind the chair,blinds,image878
what is the largest object,refridgerator,image779
what is on the drawer table,"tissue_box, book, container",image1332
what is in front of the sofa,television,image1244
how many small drawers are there,3,image1043
what is the object on the bed,pillow,image1092
what is the object found in the red colour in front,book,image870
what is on the left side of the table,basket,image1324
